tid	user	movie	score
string	d	d	continuous
meta	row=1	col=1	class
1	Breza	HarrySally	2
2	Dana	Cvetje	5
3	Cene	Prometheus	5
4	Ksenija	HarrySally	4
5	Albert	Matrix	4
6	Maja	Cvetje	5
7	Dana	Matrix	1
8	Nika	Titanic	5
9	Breza	Matrix	5
10	Maja	Titanic	3
11	Ksenija	Matrix	1
12	Julija	Prometheus	1
13	Maja	Prometheus	1
14	Maja	Matrix	1
15	Nika	HarrySally	4
16	Julija	HarrySally	5
17	Julija	Cvetje	4
18	Cene	Matrix	5
19	Ksenija	Titanic	3
20	Albert	Prometheus	5
21	Breza	Prometheus	4
22	Maja	HarrySally	3
23	Nika	Matrix	2
24	Dana	Titanic	4
25	Albert	Titanic	3
26	Cene	Titanic	2
27	Cene	Cvetje	1
28	Albert	Cvetje	1
