Drama	Action	Thriller	Romance	Horror	Comedy	Sci-Fi	Crime	Fantasy	Adventure	Movie
c	c	c	c	c	c	c	c	c	c	string
 	 	 	 	 	 	 	 	 	 	meta
1.000	1.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	Dawn of the Dead (2004)
0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	Down with Love (2003)
0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	Junior (1994)
1.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	1.000	0.000	Defending Your Life (1991)
0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	Plan 9 from Outer Space (1959)
1.000	1.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	The Killer (1989)
1.000	1.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	Munich (2005)
0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	Laura (1944)
1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	Into the Wild (2007)
1.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	The Others (2001)
1.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	Mary Shelley's Frankenstein (Frankenstein) (1994)
1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	The Unbearable Lightness of Being (1988)
0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	Operation Dumbo Drop (1995)
0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	Blades of Glory (2007)
1.000	0.000	1.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	The Fly (1986)
1.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	Swordfish (2001)
0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	The Phantom (1996)
1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	It's a Wonderful Life (1946)
0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	Cinderella (1950)
1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Suburbia (1984)
